system;ion;B3LYP/6-31+G*;wB97M-V/def2-TZVP
Ras react;Mg;-2222718.3914;-2222814.0606
Ras TS;Mg;-2222696.9811;-2222795.3696
Ras react;no Mg;-2096947.5588;-2097041.83
Ras TS;no Mg;-2096911.1325;-2097007.7321
dUTPase react;Mg;-3098310.341;-3252447.6627
dUTPase TS;Mg;-3098292.3363;-3252429.8792
dUTPase react;no Mg;-2972924.0715;-3126660.1661
dUTPase TS;no Mg;-2972885.0987;-3126622.3541
RnaseH react;Mg;-2419640.0165;-2636130.1114
RnaseH TS;Mg;-2419620.8998;-2636103.5154
RnaseH react;no Mg;-2293993.6027;-2510558.7031
RnaseH TS;no Mg;-2293954.2265;-2510509.0523
